B,B_norm,F1,FPS,M1,Q1,Q_aux,Q_discriminator,Q_fb,actor_loss,auxQ1,aux_critic_loss,aux_rew/limits_dof_pos,aux_rew/limits_torque,aux_rew/penalty_action_rate,aux_rew/penalty_ankle_roll,aux_rew/penalty_feet_ori,aux_rew/penalty_slippage,aux_rew/penalty_torques,aux_rew/penalty_undesired_contact,critic_loss,disc_expert_loss,disc_loss,disc_train_loss,disc_wgan_gp_loss,duration [minutes],fb_diag,fb_loss,fb_offdiag,mean_aux_reward,mean_disc_reward,mean_next_Q,mean_next_auxQ,orth_loss,orth_loss_diag,orth_loss_offdiag,q_loss,target_M,target_Q,target_auxQ,timestep,unc_Q,unc_auxQ,z_norm
0.004565,16.0,0.356055,1047.6135289416868,51.530437,-227.812347,-88.487717,-227.386246,2251.504639,27358.210938,-88.306877,2.376869,0.027908,2.482193,4.895339,0.103707,0.323125,0.20888,6657.857422,0.262707,3.563477,0.03055,0.072645,0.031396,0.00107,216.31623062292735,-381.026367,-11946.448242,1102.637207,-1.601012,-5.145961,-226.743103,-88.151237,-126.680717,-256.0,129.318985,0.0,51.209984,-227.811951,-88.306648,13440000,0.935562,0.647945,16.000006
0.004701,16.0,0.282302,1046.4912912392929,51.618946,-228.428848,-86.596703,-228.0242,2285.383789,27757.664062,-86.377304,2.546065,0.025836,2.268121,4.875671,0.098223,0.310114,0.207383,6414.692383,0.250786,3.350878,0.030313,0.072056,0.031077,0.001067,222.4364089767138,-383.138733,-11974.603516,1100.540649,-1.578908,-5.157829,-227.361191,-86.197823,-126.920052,-256.0,129.079575,0.0,51.295918,-228.428848,-86.377319,13824000,0.933548,0.662589,15.99999
0.004868,16.0,0.311864,1046.9945222721155,51.277832,-228.73616,-85.933823,-228.277222,2328.200928,28277.539062,-85.670502,2.244947,0.023381,2.083437,4.835844,0.09281,0.300322,0.206081,6145.226074,0.238372,2.431097,0.029683,0.070595,0.030376,0.001054,228.55365902582804,-386.589294,-12063.904297,1056.547852,-1.578619,-5.184853,-227.643478,-85.469246,-127.338898,-255.999969,128.660858,0.0,50.944954,-228.736511,-85.670586,14208000,0.941113,0.677624,15.999974
0.004901,16.0,0.329611,1047.4144930193045,52.514431,-229.201599,-85.985687,-228.776276,2386.874023,29040.013672,-85.724876,2.60124,0.020807,1.839559,4.939868,0.086277,0.284451,0.205445,5890.217285,0.218743,3.417229,0.030266,0.071909,0.031024,0.001062,234.6684818506241,-384.310883,-11942.65625,1126.407715,-1.547145,-5.183827,-228.122253,-85.557518,-126.847237,-256.0,129.152512,0.0,52.209316,-229.20224,-85.724854,14592000,0.93449,0.676483,15.999974
0.004839,16.0,0.267063,1046.8331509317145,51.303345,-230.585892,-85.813408,-230.172043,2437.411377,29815.599609,-85.541916,2.322818,0.018566,1.648441,4.905076,0.082676,0.272252,0.202297,5649.653809,0.209038,3.277699,0.029734,0.070707,0.030441,0.001053,240.7867338180542,-386.591064,-11959.325195,1120.186279,-1.544481,-5.209262,-229.510971,-85.38269,-126.929405,-256.0,129.070328,0.0,50.969677,-230.586472,-85.541862,14976000,0.931741,0.657814,15.99999
0.004986,16.0,0.205586,1047.6092564931787,51.803715,-230.881851,-85.368874,-230.414978,2471.188477,30239.517578,-85.121788,2.280457,0.017805,1.486423,4.970708,0.079882,0.264643,0.201906,5518.131348,0.204817,3.133332,0.02982,0.070864,0.030481,0.001056,246.90046200752258,-388.311859,-11978.270508,1105.206177,-1.517136,-5.222114,-229.796646,-84.983147,-126.951393,-255.999969,129.04834,0.0,51.479443,-230.881836,-85.121674,15360000,0.938472,0.655199,16.000004
0.005107,16.0,0.208274,1048.2173001763663,51.582848,-230.69812,-83.724388,-230.238144,2498.625488,30479.207031,-83.503975,1.645679,0.016937,1.322761,4.899307,0.077117,0.257171,0.200189,5330.362305,0.192391,2.304404,0.029194,0.069446,0.029764,0.001049,253.01062931617102,-393.248993,-12111.43457,1028.658325,-1.498251,-5.255546,-229.580139,-83.365631,-127.468391,-256.0,128.531219,0.0,51.247665,-230.698181,-83.503967,15744000,0.928659,0.627043,15.999982
0.0053,16.0,0.270607,1047.0143875840183,52.02541,-231.241104,-82.111237,-230.763458,2538.054688,30942.396484,-81.904594,2.064948,0.015859,1.119738,4.987504,0.072369,0.247011,0.201622,5156.71875,0.189248,3.145536,0.030704,0.072847,0.031345,0.00108,259.1277083158493,-392.013733,-12041.380859,1053.544067,-1.437832,-5.253927,-230.13356,-81.79306,-127.029007,-256.0,128.970749,0.0,51.700771,-231.240555,-81.904579,16128000,0.931296,0.631828,15.999975
0.005417,16.0,0.231683,1047.583957089219,51.955353,-231.654099,-78.975311,-231.182724,2574.676514,31287.382812,-78.812729,2.064251,0.014252,0.950913,4.953916,0.06662,0.237835,0.199051,4941.262207,0.182806,3.128501,0.030223,0.071814,0.03082,0.001077,265.24158121347426,-394.830566,-12033.328125,1065.818359,-1.407182,-5.265354,-230.54538,-78.674194,-127.043175,-255.999969,128.956482,0.0,51.625324,-231.65419,-78.812752,16512000,0.927008,0.621846,15.999976
0.005469,16.0,0.283929,1046.3486323528214,51.243183,-232.332474,-76.08979,-231.857056,2604.880371,31598.283203,-75.943985,2.080675,0.012908,0.806612,4.943885,0.061146,0.228838,0.198357,4757.598633,0.172921,3.002516,0.029812,0.070873,0.030346,0.001071,271.3625278751055,-395.767578,-12016.258789,1076.524658,-1.366081,-5.283482,-231.223053,-75.785179,-126.969978,-255.999969,129.029694,0.0,50.897514,-232.332687,-75.943985,16896000,0.918614,0.629694,15.99999
0.005671,16.0,0.316066,1047.048201933833,51.551586,-232.604462,-73.412521,-232.101151,2632.217529,31814.681641,-73.228065,1.632506,0.011649,0.668964,4.84137,0.0553,0.220254,0.194608,4500.59375,0.164262,2.27532,0.028978,0.069025,0.02944,0.001061,277.4794060309728,-400.053986,-12137.857422,1011.483887,-1.328189,-5.322199,-231.46106,-73.056534,-127.492867,-256.0,128.506836,0.0,51.20911,-232.604095,-73.227913,17280000,0.920101,0.621263,15.999996
0.005832,16.0,0.350471,1048.255882035441,52.642776,-232.725616,-71.771805,-232.208389,2682.918213,32336.613281,-71.587311,1.922206,0.010543,0.518029,4.985719,0.047694,0.209075,0.196379,4390.252441,0.161353,3.015593,0.030087,0.071479,0.030606,0.001079,283.58922734260557,-398.617462,-12041.463867,1046.310181,-1.268889,-5.317768,-231.587357,-71.445503,-126.891464,-256.0,129.108276,0.0,52.323666,-232.726151,-71.58712,17664000,0.923637,0.615536,15.99999
0.005975,16.0,0.477439,1046.969417930358,51.891224,-233.461853,-69.567329,-232.94046,2737.675049,32963.988281,-69.361534,1.905541,0.009569,0.465963,5.121305,0.042966,0.203665,0.19686,4332.676758,0.158531,3.086052,0.029936,0.071225,0.030431,0.001086,289.70657372077306,-398.842957,-11979.273438,1078.978882,-1.177797,-5.32547,-232.334625,-69.270279,-126.594246,-255.999969,129.405441,0.0,51.557083,-233.462357,-69.36142,18048000,0.915534,0.609329,15.999975
0.006136,16.0,0.351703,1047.7579541095859,52.017254,-233.536484,-68.420647,-232.991959,2749.906738,33053.859375,-68.181053,1.754362,0.008672,0.396875,4.991738,0.037957,0.198978,0.195951,4181.244629,0.157152,3.053023,0.029498,0.070223,0.029969,0.001076,295.81930120388665,-400.457031,-12018.543945,1053.22644,-1.186599,-5.3519,-232.373764,-68.062607,-126.712975,-255.999969,129.286621,0.0,51.683186,-233.536438,-68.180954,18432000,0.934849,0.598012,15.999961
0.006096,16.0,0.315325,1047.066779349127,52.703484,-233.553558,-67.851952,-232.988785,2781.067871,33395.789062,-67.582306,1.508345,0.00746,0.339016,4.855972,0.033249,0.194137,0.193793,4008.725342,0.154717,2.272747,0.028639,0.068296,0.029044,0.001061,301.9361329038938,-404.736115,-12149.800781,1010.5755,-1.180121,-5.397061,-232.342621,-67.454628,-127.556427,-256.0,128.443253,0.0,52.379673,-233.553574,-67.582481,18816000,0.939618,0.605415,16.000002
0.006203,16.0,0.259709,919.3722180669405,52.738312,-234.288086,-67.202484,-233.732346,2820.577637,33939.0625,-66.95649,1.796935,0.007331,0.323409,4.958143,0.03193,0.194398,0.19712,4055.550049,0.151522,2.984802,0.029882,0.071063,0.030378,0.00108,308.9018938064575,-401.660248,-11996.705078,1091.976196,-1.146892,-5.3716,-233.12941,-66.850449,-126.870155,-256.0,129.129669,0.0,52.41835,-234.288086,-66.956627,19200000,0.917214,0.604721,15.999969
0.006346,16.0,0.320718,1047.250589154588,52.517941,-233.249619,-66.880379,-232.664169,2862.057861,34268.179688,-66.622871,1.738068,0.006985,0.305981,5.013621,0.032083,0.193508,0.198052,4027.611328,0.149709,2.921328,0.030547,0.072597,0.031075,0.001097,315.0176910082499,-402.669922,-12023.704102,1084.239258,-1.143014,-5.371087,-232.065765,-66.51503,-127.052834,-256.0,128.94693,0.0,52.193237,-233.249207,-66.623055,19584000,0.927235,0.602407,15.99999
